C,NEMP.WORLD,TRADINGIS,AEMO,PUBLIC,2024/03/03,13:30:11,0000000412683134,TRADINGIS,0000000412683133
I,TRADING,INTERCONNECTORRES,2,SETTLEMENTDATE,RUNNO,INTERCONNECTORID,PERIODID,METEREDMWFLOW,MWFLOW,MWLOSSES,LASTCHANGED
D,TRADING,INTERCONNECTORRES,2,"2024/03/03 13:35:00",1,N-Q-MNSP1,163,36.2,17,1.36,"2024/03/03 13:30:04"
D,TRADING,INTERCONNECTORRES,2,"2024/03/03 13:35:00",1,NSW1-QLD1,163,587,464.75,30.31,"2024/03/03 13:30:04"
D,TRADING,INTERCONNECTORRES,2,"2024/03/03 13:35:00",1,T-V-MNSP1,163,-407.8,-441,21.94,"2024/03/03 13:30:04"
D,TRADING,INTERCONNECTORRES,2,"2024/03/03 13:35:00",1,V-S-MNSP1,163,156,156.22,15.93,"2024/03/03 13:30:04"
D,TRADING,INTERCONNECTORRES,2,"2024/03/03 13:35:00",1,V-SA,163,-224.44,-202.19,4.53,"2024/03/03 13:30:04"
D,TRADING,INTERCONNECTORRES,2,"2024/03/03 13:35:00",1,VIC1-NSW1,163,-31.1,-392.37,-23.81,"2024/03/03 13:30:04"
I,TRADING,PRICE,3,SETTLEMENTDATE,RUNNO,REGIONID,PERIODID,RRP,EEP,INVALIDFLAG,LASTCHANGED,ROP,RAISE6SECRRP,RAISE6SECROP,RAISE60SECRRP,RAISE60SECROP,RAISE5MINRRP,RAISE5MINROP,RAISEREGRRP,RAISEREGROP,LOWER6SECRRP,LOWER6SECROP,LOWER60SECRRP,LOWER60SECROP,LOWER5MINRRP,LOWER5MINROP,LOWERREGRRP,LOWERREGROP,RAISE1SECRRP,RAISE1SECROP,LOWER1SECRRP,LOWER1SECROP,PRICE_STATUS
D,TRADING,PRICE,3,"2024/03/03 13:35:00",1,SA1,163,-63.45,0,0,"2024/03/03 13:30:04",-63.45,0,0,0,0,0,0,0.91,0.91,1.84,1.84,4.78,4.78,0.39,0.39,3.76,3.76,0,0,0,0,FIRM
D,TRADING,PRICE,3,"2024/03/03 13:35:00",1,NSW1,163,77.06,0,0,"2024/03/03 13:30:04",77.06,0,0,0,0,0,0,0.91,0.91,1.84,1.84,4.78,4.78,0.39,0.39,3.76,3.76,0,0,0,0,FIRM
D,TRADING,PRICE,3,"2024/03/03 13:35:00",1,QLD1,163,86,0,0,"2024/03/03 13:30:04",86,0,0,0,0,0,0,0.91,0.91,1.84,1.84,4.78,4.78,0.39,0.39,3.76,3.76,0,0,0,0,FIRM
D,TRADING,PRICE,3,"2024/03/03 13:35:00",1,TAS1,163,-40.01,0,0,"2024/03/03 13:30:04",-40.01,0.38,0.38,0.38,0.38,0.38,0.38,6.25,6.25,1.84,1.84,4.78,4.78,0,0,105.27,105.27,0,0,0,0,FIRM
D,TRADING,PRICE,3,"2024/03/03 13:35:00",1,VIC1,163,-67.1,0,0,"2024/03/03 13:30:04",-67.1,0,0,0,0,0,0,0.91,0.91,1.84,1.84,4.78,4.78,0.39,0.39,3.76,3.76,0,0,0,0,FIRM
C,"END OF REPORT",15
